terme,terme_ca,grup_canonic,frequencia,eix,puntuacio,notes,races_exemple
hound,Coniller,coniller,138,,,,Afghan Hound · Alpine Dachsbracke · American English Coonhound
working,Treball,treball,103,,,,Aidi · Akita · Aksaray Malaklisi
mixed,Mestís,mestis,78,,,,Airedoodle · Alaskan Husky · Aussiedoodle
herding,Pastor,pastor,77,,,,Armant · Australian Cattle Dog · Australian Kelpie
sporting,Mostra i cobrament,mostra-cobrament,63,,,,American Cocker Spaniel · American Water Spaniel · Ariège Pointer
terrier,Terrier,terrier,50,,,,Airedale Terrier · American Hairless Terrier · American Pit Bull Terrier
non-sporting,No esportiu,no-esportiu,36,,,,Alaskan Klee Kai · American Eskimo Dog · Bichon Frisé
toy,Miniatura,miniatura,28,,,,Affenpinscher · Australian Silky Terrier · Biewer Terrier
spitz and primitive types,Spitz i tipus primitius,spitz-primitiu,13,,,,Argentine Pila · Bắc Hà · East Siberian Laika
primitive,Primitiu,spitz-primitiu,10,,,,Africanis · Alopekis · Indian Pariah Dog
companion,Companyia,companyia,5,,,,American Bully · Bohemian Spotted Dog · Kokoni
foundation stock service,Estoc fundacional,sense-classificar,4,,,,Jindo · Mountain Cur · Olde English Bulldogge
scenthound,Coniller de rastre,coniller,4,,,,Denmark Feist · Schweizerischer Niederlaufhund · Serbian Tricolour Hound
sighthound,Llebrer,llebrer,4,,,,Chippiparai · Dikkulak · Khala
guardian,Guardià,treball,3,,,,Akbash · Tibetan Kyi Apso · Vikhan
northern,Nòrdic,spitz-primitiu,2,,,,Chukotka Sled Dog · Pungsan
scent hound,Coniller de rastre,coniller,2,,,,Colombian Fino Hound · Erbi Txakur
unknown,Desconegut,sense-classificar,2,,,,Ecuadorian Hairless Dog · Philippine Forest Dog
landrace,Raça local,spitz-primitiu,1,,,,Nureongi
mixed breed,Mestís,mestis,1,,,,Sprocker Spaniel
pariah,Pària,spitz-primitiu,1,,,,Telomian
pastoral/herding,Pastor,pastor,1,,,,Sardinian Shepherd Dog
primitive/wild canid,Primitiu o cànid salvatge,spitz-primitiu,1,,,,Dingo
sighthound & pariah,Llebrer i pària,llebrer,1,,,,Sinhala Hound
spitz,Spitz,spitz-primitiu,1,,,,Donggyeongi
spitz-type,Tipus spitz,spitz-primitiu,1,,,,Hmong Bobtail Dog
utility,Utilitat,treball,1,,,,Chongqing Dog
